roasting_id,roasting_method,source_bean_country,source_bean_type,month,year,price_per_unit
1,Medium,Colombia,Robusta,1,2014,10.93
1,Medium,Colombia,Robusta,2,2014,10.93
1,Medium,Colombia,Robusta,3,2014,10.93
1,Medium,Colombia,Robusta,4,2014,10.93
1,Medium,Colombia,Robusta,5,2014,10.93
1,Medium,Colombia,Robusta,6,2014,10.93
1,Medium,Colombia,Robusta,7,2014,10.93
1,Medium,Colombia,Robusta,8,2014,10.93
1,Medium,Colombia,Robusta,9,2014,10.93
1,Medium,Colombia,Robusta,10,2014,10.93
1,Medium,Colombia,Robusta,11,2014,10.93
1,Medium,Colombia,Robusta,12,2014,10.93
1,Medium,Colombia,Robusta,1,2015,10.93
1,Medium,Colombia,Robusta,2,2015,10.93
1,Medium,Colombia,Robusta,3,2015,10.93
1,Medium,Colombia,Robusta,4,2015,10.93
1,Medium,Colombia,Robusta,5,2015,10.93
1,Medium,Colombia,Robusta,6,2015,10.93
1,Medium,Colombia,Robusta,7,2015,12.37
1,Medium,Colombia,Robusta,8,2015,12.37
1,Medium,Colombia,Robusta,9,2015,12.37
1,Medium,Colombia,Robusta,10,2015,13.82
1,Medium,Colombia,Robusta,11,2015,13.82
1,Medium,Colombia,Robusta,12,2015,13.82
1,Medium,Colombia,Robusta,1,2016,13.82
1,Medium,Colombia,Robusta,2,2016,13.82
1,Medium,Colombia,Robusta,3,2016,13.82
1,Medium,Colombia,Robusta,4,2016,13.82
1,Medium,Colombia,Robusta,5,2016,13.82
1,Medium,Colombia,Robusta,6,2016,13.82
1,Medium,Colombia,Robusta,7,2016,13.82
1,Medium,Colombia,Robusta,8,2016,13.82
1,Medium,Colombia,Robusta,9,2016,13.82
1,Medium,Colombia,Robusta,10,2016,13.82
1,Medium,Colombia,Robusta,11,2016,14.56
1,Medium,Colombia,Robusta,12,2016,14.56
1,Medium,Colombia,Robusta,1,2017,14.56
1,Medium,Colombia,Robusta,2,2017,14.56
1,Medium,Colombia,Robusta,3,2017,14.56
1,Medium,Colombia,Robusta,4,2017,14.56
1,Medium,Colombia,Robusta,5,2017,14.56
1,Medium,Colombia,Robusta,6,2017,14.56
1,Medium,Colombia,Robusta,7,2017,14.56
1,Medium,Colombia,Robusta,8,2017,14.56
1,Medium,Colombia,Robusta,9,2017,14.56
1,Medium,Colombia,Robusta,10,2017,14.56
1,Medium,Colombia,Robusta,11,2017,14.56
1,Medium,Colombia,Robusta,12,2017,14.76
1,Medium,Colombia,Robusta,1,2018,14.76
1,Medium,Colombia,Robusta,2,2018,14.76
1,Medium,Colombia,Robusta,3,2018,14.76
1,Medium,Colombia,Robusta,4,2018,14.76
1,Medium,Colombia,Robusta,5,2018,14.76
1,Medium,Colombia,Robusta,6,2018,14.76
1,Medium,Colombia,Robusta,7,2018,14.76
1,Medium,Colombia,Robusta,8,2018,14.76
1,Medium,Colombia,Robusta,9,2018,14.76
1,Medium,Colombia,Robusta,10,2018,14.76
1,Medium,Colombia,Robusta,11,2018,14.76
1,Medium,Colombia,Robusta,12,2018,14.76
1,Medium,Colombia,Robusta,1,2019,14.76
1,Medium,Colombia,Robusta,2,2019,14.76
1,Medium,Colombia,Robusta,3,2019,14.76
1,Medium,Colombia,Robusta,4,2019,14.76
1,Medium,Colombia,Robusta,5,2019,14.76
1,Medium,Colombia,Robusta,6,2019,14.76
1,Medium,Colombia,Robusta,7,2019,15.32
1,Medium,Colombia,Robusta,8,2019,15.32
1,Medium,Colombia,Robusta,9,2019,15.32
1,Medium,Colombia,Robusta,10,2019,15.32
1,Medium,Colombia,Robusta,11,2019,15.32
1,Medium,Colombia,Robusta,12,2019,15.32
1,Medium,Colombia,Robusta,1,2020,15.32
1,Medium,Colombia,Robusta,2,2020,15.41
1,Medium,Colombia,Robusta,3,2020,14.93
1,Medium,Colombia,Robusta,4,2020,14.93
1,Medium,Colombia,Robusta,5,2020,14.93
1,Medium,Colombia,Robusta,6,2020,16.16
1,Medium,Colombia,Robusta,7,2020,16.16
1,Medium,Colombia,Robusta,8,2020,17.81
1,Medium,Colombia,Robusta,9,2020,17.81
