supplier_id,month,year,price_per_unit
1,1,2014,1.98
1,2,2014,2.93
1,3,2014,3.69
1,4,2014,3.64
1,5,2014,3.6
1,6,2014,3.78
1,7,2014,3.82
1,8,2014,4.06
1,9,2014,4.15
1,10,2014,3.61
1,11,2014,4.48
1,12,2014,4.71
1,1,2015,4.51
1,2,2015,4.33
1,3,2015,4.49
1,4,2015,3.75
1,5,2015,4.03
1,6,2015,4.43
1,7,2015,4.45
1,8,2015,4.62
1,9,2015,4.83
1,10,2015,5.06
1,11,2015,4.94
1,12,2015,4.82
1,1,2016,3.75
1,2,2016,4.49
1,3,2016,4.12
1,4,2016,3.87
1,5,2016,4.39
1,6,2016,4.06
1,7,2016,5.14
1,8,2016,5.04
1,9,2016,4.39
1,10,2016,4.93
1,11,2016,4.06
1,12,2016,3.88
1,1,2017,3.92
1,2,2017,4.51
1,3,2017,4.55
1,4,2017,3.73
1,5,2017,3.85
1,6,2017,4.4
1,7,2017,4.3
1,8,2017,5.41
1,9,2017,5.99
1,10,2017,5.47
1,11,2017,5.51
1,12,2017,5.25
1,1,2018,5.38
1,2,2018,4.81
1,3,2018,4.64
1,4,2018,5.49
1,5,2018,5.22
1,6,2018,5.79
1,7,2018,6.57
1,8,2018,6.65
1,9,2018,6.71
1,10,2018,6.65
1,11,2018,5.82
1,12,2018,6.3
1,1,2019,5.63
1,2,2019,5.91
1,3,2019,5.7
1,4,2019,5.81
1,5,2019,5.91
1,6,2019,6.56
1,7,2019,7.2
1,8,2019,6.77
1,9,2019,6.79
1,10,2019,6.91
1,11,2019,6.43
1,12,2019,6.48
1,1,2020,6.76
1,2,2020,6.49
1,3,2020,6.09
1,4,2020,6.16
1,5,2020,6.32
1,6,2020,6.95
1,7,2020,6.59
1,8,2020,6.82
1,9,2020,6.98
1,10,2020,6.63
1,11,2020,8.14
1,12,2020,8.04
1,1,2021,7.06
1,2,2021,7.62
1,3,2021,7.32
1,4,2021,7.25
1,5,2021,7.14
1,6,2021,7.54
1,7,2021,7.45
1,8,2021,8.18
1,9,2021,8.39
1,10,2021,7.99
1,11,2021,8.16
1,12,2021,8.47
1,1,2022,7.98
1,2,2022,8.11
1,3,2022,7.78
1,4,2022,8.11
1,5,2022,8.14
1,6,2022,8.5
1,7,2022,8.29
1,8,2022,9.13
1,9,2022,9.04
1,10,2022,9.59
1,11,2022,9.04
1,12,2022,9.02
1,1,2023,9.13
1,2,2023,8.38
1,3,2023,8.34
1,4,2023,9.23
1,5,2023,9.04
1,6,2023,9.03
1,7,2023,9.52
1,8,2023,9.32
1,9,2023,9.29
1,10,2023,9.44
1,11,2023,9.11
1,12,2023,8.73
2,1,2014,2.86
2,2,2014,2.76
2,3,2014,3.4
2,4,2014,3.65
2,5,2014,3.22
2,6,2014,3.45
2,7,2014,2.87
2,8,2014,3.13
2,9,2014,2.69
2,10,2014,3.38
2,11,2014,3.35
2,12,2014,3.81
2,1,2015,3.13
2,2,2015,3.06
2,3,2015,3.26
2,4,2015,3.54
2,5,2015,3.81
2,6,2015,2.91
2,7,2015,2.68
2,8,2015,3.25
2,9,2015,3.87
2,10,2015,4.43
2,11,2015,4.57
2,12,2015,5.14
2,1,2016,3.97
2,2,2016,4.95
